APP_Libelle_etablissement,Code_postal,Libelle_commune,Synthese_eval_sanit,filtre_activite,Latitude,Longitude,Adress_Rue,Adress_Avenue,Adress_Chemin,Adress_Place,Adress_Boulevard,Adress_Route,Adress_quai
LA CONSERVERIE CREOLE,97230,Sainte-Marie,Très satisfaisant, Viandes et produits carnés,14.774064,-60.986602,0,0,0,0,0,0,0
CORDON VINCENT,07160,Jaunac,Très satisfaisant, Lait et produits laitiers,44.929122,4.38991,1,1,1,0,0,0,0
LODIFRAIS,24100,Bergerac,Très satisfaisant, Transport et entreposage de denrées alimentaires,44.853605,0.508503,1,1,0,0,1,0,0
DUCROS FREDERIC,75015,Paris 15e  Arrondissement,Très satisfaisant, Transport et entreposage de denrées alimentaires,48.849918,2.292876,0,0,0,0,0,0,0
CAILLAUD MARIE-CLAUDE,17250,Les Essards,Satisfaisant, Autres,45.785207,-0.757254,1,0,1,0,0,0,0
REY NICHOLAS,75018,Paris 18e  Arrondissement,Très satisfaisant, Autres,48.859,2.347,0,0,0,0,0,0,0
ILEDEFRANCE TERRE DE SAVEURS,75015,Paris 15e  Arrondissement,Très satisfaisant, Transport et entreposage de denrées alimentaires,48.849918,2.292876,0,0,0,0,0,0,0
MERIDIONALE DE COMMUNICATION ET DE COMMERCIALISATION,04700,Oraison,Très satisfaisant, Produits de la mer et d'eau douce,43.904808,5.914688,0,0,0,0,0,0,0
COOPERL ARC ATLANTIQUE,22400,Lamballe-Armor,Satisfaisant, Viandes et produits carnés,48.466475,-2.539495,1,0,0,0,0,0,0
DELPEYRAT,40380,Gibret,Satisfaisant, Abattoirs,43.671482,-0.815268,1,0,0,0,0,1,0
GAEC DE LA VOLAILLE GOURMANDE,42720,Vougy,Satisfaisant, Abattoirs,46.072976,4.101096,0,0,0,0,0,0,0
COOPERL ARC ATLANTIQUE,22400,Lamballe-Armor,Satisfaisant, Viandes et produits carnés,48.466475,-2.539495,1,0,0,0,0,0,0
L'ABATTOIR DES LANDES,40700,Hagetmau,Urgent_Améliorer, Abattoirs,43.65857,-0.597981,1,0,1,0,0,0,0
LA FERME DES CARONS,25550,Dung,Très satisfaisant, Œufs et ovoproduits,47.50229,6.751599,1,0,0,0,0,0,0
VITRY STEPHANE,06600,Antibes,Satisfaisant, Produits de la mer et d'eau douce,43.581145,7.127507,1,0,0,0,0,0,0
AU PANIER GOURMAND,60000,Beauvais,Satisfaisant, Autres,49.429556,2.084702,1,0,0,0,0,0,0
FERME DU MUGUET,38480,Romagnieu,Très satisfaisant, Lait et produits laitiers,45.57447,5.61613,1,0,1,0,0,0,0
METRO FRANCE,69120,Vaulx-en-Velin,Très satisfaisant, Produits de la mer et d'eau douce,45.781248,4.93095,1,1,1,0,0,0,0
LC SALAISONS EN ARDECHE,07100,Roiffieux,Très satisfaisant, Viandes et produits carnés,45.230286,4.667303,0,0,0,0,0,0,0
RESTAURANT LA ROCHE A BUNEL,14220,Thury-Harcourt-Le-Hom,Satisfaisant, Autres,48.991734,-0.497872,1,0,1,0,0,0,0
ALINE,20600,Furiani,Très satisfaisant, Produits de la mer et d'eau douce,42.656181,9.424567,1,0,0,0,0,0,0
LA CROIX PAIN,75008,Paris 8e  Arrondissement,Très satisfaisant, Autres,48.870327,2.310881,1,0,0,0,0,0,0
BROCELIANDE - ALH,42120,Perreux,Très satisfaisant, Viandes et produits carnés,46.031474,4.093913,1,0,0,0,0,0,0
METRO FRANCE,69120,Vaulx-en-Velin,Très satisfaisant, Viandes et produits carnés,45.781248,4.93095,1,1,1,0,0,0,0
LES JARDINS DE FONTENELLE,02540,Dhuys et Morin-en-Brie,Satisfaisant, Autres,48.913674,3.501396,1,0,0,0,0,0,0
CASTRESDIS,81100,Castres,Satisfaisant, Autres,43.634054,2.313889,1,0,0,0,0,0,0
CRUST ARMOR COUHADOUX SA,22200,Saint-Agathon,Très satisfaisant, Produits de la mer et d'eau douce,48.550119,-3.111366,0,0,0,0,0,0,0
LA BOULANGERIE DU COIN,24610,Saint-Méard-de-Gurçon,Très satisfaisant, Autres,44.90875,0.183302,1,0,0,0,0,0,0
SOCIETE ROUX ET COMPAGNIE,21220,Gevrey-Chambertin,Satisfaisant, Viandes et produits carnés,47.226735,4.998281,1,0,0,0,0,0,0
AU BON GROIN,11130,Sigean,Satisfaisant, Autres,43.031578,2.963518,1,0,0,0,0,0,0
CEDRAL,94150,Rungis,Très satisfaisant, Viandes et produits carnés,48.756044,2.357936,1,0,0,0,0,0,0
SOCIETE ROUX ET COMPAGNIE,21220,Gevrey-Chambertin,Satisfaisant, Viandes et produits carnés,47.226735,4.998281,1,0,0,0,0,0,0
AUVERGNE LIMOUSINE,75018,Paris 18e  Arrondissement,Très satisfaisant, Autres,48.859,2.347,0,0,0,0,0,0,0
CEDRAL,94150,Rungis,Très satisfaisant, Transport et entreposage de denrées alimentaires,48.756044,2.357936,1,0,0,0,0,0,0
EARL DES DEUX RIVIERES,42140,Grammond,Très satisfaisant, Lait et produits laitiers,45.578525,4.438996,0,0,1,1,0,0,0
SOCIETE CIVILE D'EXPLOITATION OSTREICOLE OSTRECCIA,56870,Baden,Satisfaisant, Produits de la mer et d'eau douce,47.59327,-2.914911,1,0,0,0,0,0,0
LA TULIPE,75015,Paris 15e  Arrondissement,Très satisfaisant, Transport et entreposage de denrées alimentaires,48.849918,2.292876,0,0,0,0,0,0,0
INTERMARCHE,22200,Saint-Agathon,Satisfaisant, Autres,48.556894,-3.123383,0,1,0,0,0,0,0
GAEC DES HAUTS DE CHAUMES,63600,Valcivières,Très satisfaisant, Lait et produits laitiers,45.562393,3.758125,1,0,0,0,0,0,0
EDULIS COQUILLAGES,50560,Blainville-sur-Mer,Très satisfaisant, Produits de la mer et d'eau douce,49.073362,-1.588441,1,0,0,0,0,0,0
FERME DE LA TREMBLAYE,78125,La Boissière-École,Très satisfaisant, Lait et produits laitiers,48.677713,1.65099,1,0,1,0,0,0,0
PARI DECO,93380,Pierrefitte-sur-Seine,Satisfaisant, Autres,48.964827,2.371909,1,0,1,0,1,0,0
EURL HOTEL DU QUERCY,75015,Paris 15e  Arrondissement,Très satisfaisant, Transport et entreposage de denrées alimentaires,48.849918,2.292876,0,0,0,0,0,0,0
ARZ YANNICK,56870,Baden,Satisfaisant, Produits de la mer et d'eau douce,47.593655,-2.925728,1,0,0,0,0,0,0
